Pickup_date,East_Village,Gramercy,GVillage_N,GVillage_S,Little_Italy,LES,SoHo,Union_Sq
2015-04-05 18:00:00,464,208,226,225,254,300,211,298
2015-04-06 00:00:00,113,45,62,48,48,93,42,59
2015-04-06 06:00:00,412,298,226,138,150,198,198,274
2015-04-06 12:00:00,269,212,259,146,271,181,263,478
2015-04-06 18:00:00,448,287,371,289,398,270,342,724
2015-04-07 00:00:00,173,69,62,62,58,82,54,108
2015-04-07 06:00:00,431,354,244,152,205,190,247,298
2015-04-07 12:00:00,288,252,343,219,376,189,327,599
2015-04-07 18:00:00,695,480,736,606,639,445,643,1472
2015-04-08 00:00:00,183,67,95,77,73,121,70,120
2015-04-08 06:00:00,477,379,262,135,213,217,249,332
2015-04-08 12:00:00,317,272,348,199,350,187,363,726
2015-04-08 18:00:00,687,490,681,542,666,487,649,1335
2015-04-09 00:00:00,230,103,99,137,105,153,83,137
2015-04-09 06:00:00,534,446,282,139,231,226,255,303
2015-04-09 12:00:00,316,300,400,232,386,252,402,814
2015-04-09 18:00:00,795,541,664,597,761,557,652,1362
2015-04-10 00:00:00,355,155,123,184,153,252,107,222
2015-04-10 06:00:00,510,456,277,159,238,260,239,325
2015-04-10 12:00:00,379,323,385,233,425,249,390,744
2015-04-10 18:00:00,1035,657,615,516,698,591,612,1085
2015-04-11 00:00:00,865,275,256,392,279,751,170,330
2015-04-11 06:00:00,275,184,160,97,140,140,101,153
2015-04-11 12:00:00,507,346,285,286,402,339,379,418
2015-04-11 18:00:00,1313,699,711,681,813,780,584,880
2015-04-12 00:00:00,1281,396,437,695,435,1009,219,466
2015-04-12 06:00:00,247,140,128,84,120,126,101,123
2015-04-12 12:00:00,471,304,262,222,304,269,306,385
2015-04-12 18:00:00,589,262,257,276,274,359,273,364
2015-04-13 00:00:00,149,78,62,61,52,71,48,78
2015-04-13 06:00:00,437,312,241,133,194,197,197,275
2015-04-13 12:00:00,240,205,235,155,269,167,263,471
2015-04-13 18:00:00,355,247,321,277,369,274,355,644
2015-04-14 00:00:00,117,54,49,62,54,60,55,91
2015-04-14 06:00:00,433,344,286,156,210,196,257,323
2015-04-14 12:00:00,258,270,290,173,317,176,286,585
2015-04-14 18:00:00,500,368,465,352,477,333,436,962
2015-04-15 00:00:00,186,77,67,79,62,105,73,130
2015-04-15 06:00:00,438,336,235,150,215,220,234,315
2015-04-15 12:00:00,291,262,304,177,287,195,334,666
2015-04-15 18:00:00,570,379,480,385,511,435,521,1069
2015-04-16 00:00:00,241,100,100,102,102,156,97,152
2015-04-16 06:00:00,455,325,258,162,215,224,274,347
2015-04-16 12:00:00,302,346,365,204,348,188,398,748
2015-04-16 18:00:00,819,550,702,570,759,564,666,1466
2015-04-17 00:00:00,310,154,116,161,143,256,122,240
2015-04-17 06:00:00,586,405,300,177,210,249,242,377
2015-04-17 12:00:00,356,331,374,214,371,240,401,757
2015-04-17 18:00:00,984,639,562,533,687,646,602,1132
2015-04-18 00:00:00,1066,379,293,490,298,833,236,381
2015-04-18 06:00:00,316,216,171,108,134,157,120,187
2015-04-18 12:00:00,752,519,386,345,410,427,443,592
2015-04-18 18:00:00,1484,800,809,674,648,786,622,973
2015-04-19 00:00:00,1464,430,431,744,444,1124,306,608
2015-04-19 06:00:00,292,165,139,63,122,127,104,154
2015-04-19 12:00:00,595,380,378,280,394,309,362,530
2015-04-19 18:00:00,724,364,400,337,415,388,365,504
2015-04-20 00:00:00,207,68,87,87,63,93,81,82
2015-04-20 06:00:00,676,545,463,251,293,290,324,556
2015-04-20 12:00:00,362,373,421,238,407,267,370,798
2015-04-20 18:00:00,482,400,391,341,471,308,440,852
2015-04-21 00:00:00,196,83,82,91,102,105,74,119
2015-04-21 06:00:00,466,391,293,144,213,226,270,367
2015-04-21 12:00:00,296,281,328,208,319,195,361,613
2015-04-21 18:00:00,551,394,489,401,526,429,522,968
2015-04-22 00:00:00,199,99,84,93,93,143,79,148
2015-04-22 06:00:00,488,358,263,163,227,251,251,331
2015-04-22 12:00:00,340,384,476,292,502,232,445,938
2015-04-22 18:00:00,836,600,721,642,768,578,676,1515
2015-04-23 00:00:00,308,119,98,124,103,206,96,167
2015-04-23 06:00:00,549,386,288,175,254,238,247,369
2015-04-23 12:00:00,385,361,451,279,450,255,435,886
2015-04-23 18:00:00,1288,772,944,807,953,722,848,1864
2015-04-24 00:00:00,457,204,144,211,184,287,127,273
2015-04-24 06:00:00,577,460,310,174,267,252,305,383
2015-04-24 12:00:00,407,368,462,261,407,270,436,859
2015-04-24 18:00:00,1611,937,1005,887,944,931,829,1664
2015-04-25 00:00:00,1352,475,393,568,441,920,293,495
2015-04-25 06:00:00,346,247,187,114,158,167,138,207
2015-04-25 12:00:00,904,556,506,365,533,505,453,714
2015-04-25 18:00:00,2013,975,923,762,884,936,770,1183
2015-04-26 00:00:00,1710,466,488,740,471,1251,323,690
2015-04-26 06:00:00,371,221,170,90,170,186,150,178
2015-04-26 12:00:00,799,512,486,360,491,402,427,632
2015-04-26 18:00:00,842,468,476,382,414,450,329,612
2015-04-27 00:00:00,221,90,66,85,63,96,72,77
2015-04-27 06:00:00,486,344,249,140,207,210,240,267
2015-04-27 12:00:00,312,245,283,184,328,186,336,598
2015-04-27 18:00:00,515,347,439,380,440,325,414,826
